Desert Eagle | Urban DDPAT (Factory New)
Desert Eagle | Bronze Deco (Field-Tested)
Desert Eagle | Bronze Deco (Well-Worn)
Desert Eagle | Bronze Deco (Battle-Scarred)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Well-Worn)
StatTrak™ Desert Eagle | Bronze Deco (Battle-Scarred)
Desert Eagle | Midnight Storm (Factory New)
Desert Eagle | Midnight Storm (Minimal Wear)
Desert Eagle | Midnight Storm (Field-Tested)
Desert Eagle | Midnight Storm (Well-Worn)
Desert Eagle | Midnight Storm (Battle-Scarred)
Desert Eagle | Sunset Storm 壱 (Factory New)
Desert Eagle | Sunset Storm 壱 (Minimal Wear)
Desert Eagle | Sunset Storm 壱 (Field-Tested)
Desert Eagle | Sunset Storm 壱 (Well-Worn)
Desert Eagle | Sunset Storm 壱 (Battle-Scarred)
Desert Eagle | Sunset Storm 弐 (Factory New)
Desert Eagle | Sunset Storm 弐 (Minimal Wear)
Desert Eagle | Sunset Storm 弐 (Field-Tested)
Desert Eagle | Sunset Storm 弐 (Well-Worn)
Desert Eagle | Sunset Storm 弐 (Battle-Scarred)
Desert Eagle | Corinthian (Factory New)
Desert Eagle | Corinthian (Minimal Wear)
Desert Eagle | Corinthian (Field-Tested)
Desert Eagle | Corinthian (Well-Worn)
StatTrak™ Desert Eagle | Corinthian (Factory New)
StatTrak™ Desert Eagle | Corinthian (Minimal Wear)
StatTrak™ Desert Eagle | Corinthian (Field-Tested)
StatTrak™ Desert Eagle | Corinthian (Well-Worn)
Desert Eagle | Kumicho Dragon (Factory New)
Desert Eagle | Kumicho Dragon (Minimal Wear)
Desert Eagle | Kumicho Dragon (Field-Tested)
Desert Eagle | Kumicho Dragon (Well-Worn)
Desert Eagle | Kumicho Dragon (Battle-Scarred)
StatTrak™ Desert Eagle | Kumicho Dragon (Factory New)
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear)
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested)
StatTrak™ Desert Eagle | Kumicho Dragon (Well-Worn)
StatTrak™ Desert Eagle | Kumicho Dragon (Battle-Scarred)
Desert Eagle | Directive (Factory New)
Desert Eagle | Directive (Minimal Wear)
Desert Eagle | Directive (Field-Tested)
Desert Eagle | Directive (Well-Worn)
Desert Eagle | Directive (Battle-Scarred)
StatTrak™ Desert Eagle | Directive (Factory New)
StatTrak™ Desert Eagle | Directive (Minimal Wear)
StatTrak™ Desert Eagle | Directive (Field-Tested)
StatTrak™ Desert Eagle | Directive (Well-Worn)
StatTrak™ Desert Eagle | Directive (Battle-Scarred)
Desert Eagle | Oxide Blaze (Factory New)
Desert Eagle | Oxide Blaze (Minimal Wear)
Desert Eagle | Oxide Blaze (Field-Tested)
Desert Eagle | Oxide Blaze (Well-Worn)
Desert Eagle | Oxide Blaze (Battle-Scarred)
StatTrak™ Desert Eagle | Oxide Blaze (Factory New)
StatTrak™ Desert Eagle | Oxide Blaze (Minimal Wear)
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested)
StatTrak™ Desert Eagle | Oxide Blaze (Well-Worn)
StatTrak™ Desert Eagle | Oxide Blaze (Battle-Scarred)
Desert Eagle | Code Red (Factory New)
Desert Eagle | Code Red (Minimal Wear)
Desert Eagle | Code Red (Field-Tested)
Desert Eagle | Code Red (Well-Worn)
Desert Eagle | Code Red (Battle-Scarred)
StatTrak™ Desert Eagle | Code Red (Factory New)
StatTrak™ Desert Eagle | Code Red (Minimal Wear)
StatTrak™ Desert Eagle | Code Red (Field-Tested)
StatTrak™ Desert Eagle | Code Red (Well-Worn)
StatTrak™ Desert Eagle | Code Red (Battle-Scarred)
Desert Eagle | Emerald Jörmungandr (Factory New)
Desert Eagle | Emerald Jörmungandr (Minimal Wear)
Desert Eagle | Emerald Jörmungandr (Field-Tested)
Desert Eagle | Emerald Jörmungandr (Well-Worn)
Desert Eagle | Emerald Jörmungandr (Battle-Scarred)
Desert Eagle | Fennec Fox (Factory New)
Desert Eagle | Fennec Fox (Minimal Wear)
Desert Eagle | Fennec Fox (Field-Tested)
Desert Eagle | Fennec Fox (Well-Worn)
Desert Eagle | Fennec Fox (Battle-Scarred)
Souvenir Desert Eagle | Fennec Fox (Factory New)
Souvenir Desert Eagle | Fennec Fox (Minimal Wear)
Souvenir Desert Eagle | Fennec Fox (Field-Tested)
Souvenir Desert Eagle | Fennec Fox (Well-Worn)
Souvenir Desert Eagle | Fennec Fox (Battle-Scarred)
Desert Eagle | Mecha Industries (Factory New)
Desert Eagle | Mecha Industries (Minimal Wear)
Desert Eagle | Mecha Industries (Field-Tested)
Desert Eagle | Mecha Industries (Well-Worn)
Desert Eagle | Mecha Industries (Battle-Scarred)
StatTrak™ Desert Eagle | Mecha Industries (Factory New)
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)
StatTrak™ Desert Eagle | Mecha Industries (Well-Worn)
StatTrak™ Desert Eagle | Mecha Industries (Battle-Scarred)
Desert Eagle | Light Rail (Factory New)
Desert Eagle | Light Rail (Minimal Wear)
Desert Eagle | Light Rail (Field-Tested)
Desert Eagle | Light Rail (Well-Worn)
Desert Eagle | Light Rail (Battle-Scarred)
StatTrak™ Desert Eagle | Light Rail (Factory New)
StatTrak™ Desert Eagle | Light Rail (Minimal Wear)
StatTrak™ Desert Eagle | Light Rail (Field-Tested)
StatTrak™ Desert Eagle | Light Rail (Well-Worn)
StatTrak™ Desert Eagle | Light Rail (Battle-Scarred)
Desert Eagle | Starcade (Factory New)
Desert Eagle | Starcade (Minimal Wear)
Desert Eagle | Starcade (Field-Tested)
Desert Eagle | Starcade (Well-Worn)
Desert Eagle | Starcade (Battle-Scarred)
Desert Eagle | Blue Ply (Factory New)
Desert Eagle | Blue Ply (Minimal Wear)
Desert Eagle | Blue Ply (Field-Tested)
Desert Eagle | Blue Ply (Well-Worn)
Desert Eagle | Blue Ply (Battle-Scarred)
StatTrak™ Desert Eagle | Blue Ply (Factory New)
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear)
StatTrak™ Desert Eagle | Blue Ply (Field-Tested)
StatTrak™ Desert Eagle | Blue Ply (Well-Worn)
StatTrak™ Desert Eagle | Blue Ply (Battle-Scarred)
Desert Eagle | Printstream (Factory New)
Desert Eagle | Printstream (Minimal Wear)
Desert Eagle | Printstream (Field-Tested)
Desert Eagle | Printstream (Well-Worn)
Desert Eagle | Printstream (Battle-Scarred)
StatTrak™ Desert Eagle | Printstream (Factory New)
StatTrak™ Desert Eagle | Printstream (Minimal Wear)
StatTrak™ Desert Eagle | Printstream (Field-Tested)
StatTrak™ Desert Eagle | Printstream (Well-Worn)
StatTrak™ Desert Eagle | Printstream (Battle-Scarred)
Desert Eagle | The Bronze (Factory New)
Desert Eagle | The Bronze (Minimal Wear)
Desert Eagle | The Bronze (Field-Tested)
Desert Eagle | Night Heist (Factory New)
Desert Eagle | Night Heist (Minimal Wear)
Desert Eagle | Night Heist (Field-Tested)
Desert Eagle | Night Heist (Well-Worn)
Desert Eagle | Night Heist (Battle-Scarred)
Desert Eagle | Trigger Discipline (Factory New)
Desert Eagle | Trigger Discipline (Minimal Wear)
Desert Eagle | Trigger Discipline (Field-Tested)
Desert Eagle | Trigger Discipline (Well-Worn)
Desert Eagle | Trigger Discipline (Battle-Scarred)
StatTrak™ Desert Eagle | Trigger Discipline (Factory New)
StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear)
StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested)
StatTrak™ Desert Eagle | Trigger Discipline (Well-Worn)
StatTrak™ Desert Eagle | Trigger Discipline (Battle-Scarred)
Desert Eagle | Heat Treated (Factory New)
Desert Eagle | Heat Treated (Minimal Wear)
Desert Eagle | Heat Treated (Field-Tested)
Desert Eagle | Heat Treated (Well-Worn)
Desert Eagle | Heat Treated (Battle-Scarred)
Desert Eagle | Sputnik (Factory New)
Desert Eagle | Sputnik (Minimal Wear)
Desert Eagle | Sputnik (Field-Tested)
Desert Eagle | Sputnik (Well-Worn)
Desert Eagle | Sputnik (Battle-Scarred)
Desert Eagle | Ocean Drive (Factory New)
Desert Eagle | Ocean Drive (Minimal Wear)
Desert Eagle | Ocean Drive (Field-Tested)
Desert Eagle | Ocean Drive (Well-Worn)
Desert Eagle | Ocean Drive (Battle-Scarred)
StatTrak™ Desert Eagle | Ocean Drive (Factory New)
StatTrak™ Desert Eagle | Ocean Drive (Minimal Wear)
StatTrak™ Desert Eagle | Ocean Drive (Field-Tested)
StatTrak™ Desert Eagle | Ocean Drive (Well-Worn)
StatTrak™ Desert Eagle | Ocean Drive (Battle-Scarred)
Dual Berettas | Anodized Navy (Factory New)
Dual Berettas | Anodized Navy (Minimal Wear)
Souvenir Dual Berettas | Anodized Navy (Factory New)
Souvenir Dual Berettas | Anodized Navy (Minimal Wear)
Dual Berettas | Stained (Factory New)
Dual Berettas | Stained (Minimal Wear)
Dual Berettas | Stained (Field-Tested)
Dual Berettas | Stained (Well-Worn)
Dual Berettas | Stained (Battle-Scarred)
Souvenir Dual Berettas | Stained (Factory New)
Souvenir Dual Berettas | Stained (Minimal Wear)
Souvenir Dual Berettas | Stained (Field-Tested)
Souvenir Dual Berettas | Stained (Well-Worn)
Souvenir Dual Berettas | Stained (Battle-Scarred)
Dual Berettas | Contractor (Factory New)
Dual Berettas | Contractor (Minimal Wear)
Dual Berettas | Contractor (Field-Tested)
Dual Berettas | Contractor (Well-Worn)
Dual Berettas | Contractor (Battle-Scarred)
Souvenir Dual Berettas | Contractor (Factory New)
Souvenir Dual Berettas | Contractor (Minimal Wear)
Souvenir Dual Berettas | Contractor (Field-Tested)
Souvenir Dual Berettas | Contractor (Well-Worn)
Souvenir Dual Berettas | Contractor (Battle-Scarred)
Dual Berettas | Colony (Factory New)
Dual Berettas | Colony (Minimal Wear)
Dual Berettas | Colony (Field-Tested)
Dual Berettas | Colony (Well-Worn)
Dual Berettas | Colony (Battle-Scarred)
Souvenir Dual Berettas | Colony (Factory New)
Souvenir Dual Berettas | Colony (Minimal Wear)
Souvenir Dual Berettas | Colony (Field-Tested)
Souvenir Dual Berettas | Colony (Well-Worn)
Souvenir Dual Berettas | Colony (Battle-Scarred)
Dual Berettas | Hydro Strike (Factory New)
Dual Berettas | Hydro Strike (Minimal Wear)
Dual Berettas | Hydro Strike (Field-Tested)
Dual Berettas | Hydro Strike (Well-Worn)
Dual Berettas | Hydro Strike (Battle-Scarred)
StatTrak™ Dual Berettas | Hydro Strike (Factory New)
StatTrak™ Dual Berettas | Hydro Strike (Minimal Wear)
StatTrak™ Dual Berettas | Hydro Strike (Field-Tested)
StatTrak™ Dual Berettas | Hydro Strike (Well-Worn)
StatTrak™ Dual Berettas | Hydro Strike (Battle-Scarred)
Dual Berettas | Sweet Little Angels (Factory New)
Dual Berettas | Sweet Little Angels (Minimal Wear)
Dual Berettas | Sweet Little Angels (Field-Tested)
Dual Berettas | Sweet Little Angels (Well-Worn)
Dual Berettas | Sweet Little Angels (Battle-Scarred)
Dual Berettas | Demolition (Field-Tested)
Dual Berettas | Demolition (Well-Worn)
Dual Berettas | Demolition (Battle-Scarred)
Souvenir Dual Berettas | Demolition (Field-Tested)
Souvenir Dual Berettas | Demolition (Well-Worn)
Souvenir Dual Berettas | Demolition (Battle-Scarred)
Dual Berettas | Black Limba (Factory New)
Dual Berettas | Black Limba (Minimal Wear)
Dual Berettas | Black Limba (Field-Tested)
Dual Berettas | Black Limba (Well-Worn)
Dual Berettas | Black Limba (Battle-Scarred)
StatTrak™ Dual Berettas | Black Limba (Factory New)
StatTrak™ Dual Berettas | Black Limba (Minimal Wear)
StatTrak™ Dual Berettas | Black Limba (Field-Tested)
StatTrak™ Dual Berettas | Black Limba (Well-Worn)
StatTrak™ Dual Berettas | Black Limba (Battle-Scarred)
Dual Berettas | Hemoglobin (Factory New)
Dual Berettas | Hemoglobin (Minimal Wear)
Dual Berettas | Hemoglobin (Field-Tested)
StatTrak™ Dual Berettas | Hemoglobin (Factory New)
StatTrak™ Dual Berettas | Hemoglobin (Minimal Wear)
StatTrak™ Dual Berettas | Hemoglobin (Field-Tested)
Dual Berettas | Cobalt Quartz (Factory New)
Dual Berettas | Cobalt Quartz (Minimal Wear)
Dual Berettas | Cobalt Quartz (Field-Tested)
Dual Berettas | Cobalt Quartz (Well-Worn)
Souvenir Dual Berettas | Cobalt Quartz (Factory New)
Souvenir Dual Berettas | Cobalt Quartz (Minimal Wear)
Souvenir Dual Berettas | Cobalt Quartz (Field-Tested)
Souvenir Dual Berettas | Cobalt Quartz (Well-Worn)
Dual Berettas | Marina (Factory New)
Dual Berettas | Marina (Minimal Wear)
Dual Berettas | Marina (Field-Tested)
Dual Berettas | Marina (Well-Worn)
Dual Berettas | Marina (Battle-Scarred)
StatTrak™ Dual Berettas | Marina (Factory New)
StatTrak™ Dual Berettas | Marina (Minimal Wear)
StatTrak™ Dual Berettas | Marina (Field-Tested)
StatTrak™ Dual Berettas | Marina (Well-Worn)
StatTrak™ Dual Berettas | Marina (Battle-Scarred)
Dual Berettas | Panther (Factory New)
Dual Berettas | Panther (Minimal Wear)
Dual Berettas | Panther (Field-Tested)
Dual Berettas | Panther (Well-Worn)
Dual Berettas | Panther (Battle-Scarred)
StatTrak™ Dual Berettas | Panther (Factory New)
StatTrak™ Dual Berettas | Panther (Minimal Wear)
StatTrak™ Dual Berettas | Panther (Field-Tested)
StatTrak™ Dual Berettas | Panther (Well-Worn)
StatTrak™ Dual Berettas | Panther (Battle-Scarred)
Dual Berettas | Retribution (Factory New)
Dual Berettas | Retribution (Minimal Wear)
Dual Berettas | Retribution (Field-Tested)
Dual Berettas | Retribution (Well-Worn)
StatTrak™ Dual Berettas | Retribution (Factory New)
StatTrak™ Dual Berettas | Retribution (Minimal Wear)
StatTrak™ Dual Berettas | Retribution (Field-Tested)
StatTrak™ Dual Berettas | Retribution (Well-Worn)
Dual Berettas | Briar (Factory New)
Dual Berettas | Briar (Minimal Wear)
Dual Berettas | Briar (Field-Tested)
Souvenir Dual Berettas | Briar (Factory New)
Souvenir Dual Berettas | Briar (Minimal Wear)
Souvenir Dual Berettas | Briar (Field-Tested)
Dual Berettas | Urban Shock (Factory New)
Dual Berettas | Urban Shock (Minimal Wear)
Dual Berettas | Urban Shock (Field-Tested)
Dual Berettas | Urban Shock (Well-Worn)
Dual Berettas | Urban Shock (Battle-Scarred)
StatTrak™ Dual Berettas | Urban Shock (Factory New)
StatTrak™ Dual Berettas | Urban Shock (Minimal Wear)
StatTrak™ Dual Berettas | Urban Shock (Field-Tested)
StatTrak™ Dual Berettas | Urban Shock (Well-Worn)
StatTrak™ Dual Berettas | Urban Shock (Battle-Scarred)
Dual Berettas | Duelist (Factory New)
Dual Berettas | Duelist (Minimal Wear)
Dual Berettas | Duelist (Field-Tested)
Dual Berettas | Duelist (Well-Worn)
Dual Berettas | Duelist (Battle-Scarred)
Dual Berettas | Moon in Libra (Factory New)
Dual Berettas | Moon in Libra (Minimal Wear)
Dual Berettas | Moon in Libra (Field-Tested)
Dual Berettas | Moon in Libra (Well-Worn)
Dual Berettas | Moon in Libra (Battle-Scarred)
Dual Berettas | Emerald (Factory New)
Dual Berettas | Emerald (Minimal Wear)
Dual Berettas | Dualing Dragons (Factory New)
Dual Berettas | Dualing Dragons (Minimal Wear)
Dual Berettas | Dualing Dragons (Field-Tested)
Dual Berettas | Dualing Dragons (Well-Worn)
Dual Berettas | Dualing Dragons (Battle-Scarred)
StatTrak™ Dual Berettas | Dualing Dragons (Factory New)
StatTrak™ Dual Berettas | Dualing Dragons (Minimal Wear)
StatTrak™ Dual Berettas | Dualing Dragons (Field-Tested)
StatTrak™ Dual Berettas | Dualing Dragons (Well-Worn)
StatTrak™ Dual Berettas | Dualing Dragons (Battle-Scarred)
Dual Berettas | Cartel (Factory New)
Dual Berettas | Cartel (Minimal Wear)
Dual Berettas | Cartel (Field-Tested)
Dual Berettas | Cartel (Well-Worn)
Dual Berettas | Cartel (Battle-Scarred)
StatTrak™ Dual Berettas | Cartel (Factory New)
StatTrak™ Dual Berettas | Cartel (Minimal Wear)
StatTrak™ Dual Berettas | Cartel (Field-Tested)
StatTrak™ Dual Berettas | Cartel (Well-Worn)
StatTrak™ Dual Berettas | Cartel (Battle-Scarred)
Dual Berettas | Ventilators (Factory New)
Dual Berettas | Ventilators (Minimal Wear)
Dual Berettas | Ventilators (Field-Tested)
Dual Berettas | Ventilators (Well-Worn)
StatTrak™ Dual Berettas | Ventilators (Factory New)
StatTrak™ Dual Berettas | Ventilators (Minimal Wear)
StatTrak™ Dual Berettas | Ventilators (Field-Tested)
StatTrak™ Dual Berettas | Ventilators (Well-Worn)
Dual Berettas | Royal Consorts (Factory New)
Dual Berettas | Royal Consorts (Minimal Wear)
Dual Berettas | Royal Consorts (Field-Tested)
Dual Berettas | Royal Consorts (Well-Worn)
Dual Berettas | Royal Consorts (Battle-Scarred)
StatTrak™ Dual Berettas | Royal Consorts (Factory New)
StatTrak™ Dual Berettas | Royal Consorts (Minimal Wear)
StatTrak™ Dual Berettas | Royal Consorts (Field-Tested)
StatTrak™ Dual Berettas | Royal Consorts (Well-Worn)
StatTrak™ Dual Berettas | Royal Consorts (Battle-Scarred)
Dual Berettas | Cobra Strike (Factory New)
Dual Berettas | Cobra Strike (Minimal Wear)
Dual Berettas | Cobra Strike (Field-Tested)
Dual Berettas | Cobra Strike (Well-Worn)
Dual Berettas | Cobra Strike (Battle-Scarred)
StatTrak™ Dual Berettas | Cobra Strike (Factory New)
StatTrak™ Dual Berettas | Cobra Strike (Minimal Wear)
StatTrak™ Dual Berettas | Cobra Strike (Field-Tested)
StatTrak™ Dual Berettas | Cobra Strike (Well-Worn)
StatTrak™ Dual Berettas | Cobra Strike (Battle-Scarred)
Dual Berettas | Shred (Factory New)
Dual Berettas | Shred (Minimal Wear)
Dual Berettas | Shred (Field-Tested)
Dual Berettas | Shred (Well-Worn)
Dual Berettas | Shred (Battle-Scarred)
StatTrak™ Dual Berettas | Shred (Factory New)
StatTrak™ Dual Berettas | Shred (Minimal Wear)
StatTrak™ Dual Berettas | Shred (Field-Tested)
StatTrak™ Dual Berettas | Shred (Well-Worn)
StatTrak™ Dual Berettas | Shred (Battle-Scarred)
Dual Berettas | Twin Turbo (Factory New)
Dual Berettas | Twin Turbo (Minimal Wear)
Dual Berettas | Twin Turbo (Field-Tested)
Dual Berettas | Twin Turbo (Well-Worn)
Dual Berettas | Twin Turbo (Battle-Scarred)
Souvenir Dual Berettas | Twin Turbo (Factory New)
Souvenir Dual Berettas | Twin Turbo (Minimal Wear)
Souvenir Dual Berettas | Twin Turbo (Field-Tested)
Souvenir Dual Berettas | Twin Turbo (Well-Worn)
Souvenir Dual Berettas | Twin Turbo (Battle-Scarred)
Dual Berettas | Drift Wood (Factory New)
Dual Berettas | Drift Wood (Minimal Wear)
Dual Berettas | Drift Wood (Field-Tested)
Dual Berettas | Drift Wood (Well-Worn)
Dual Berettas | Drift Wood (Battle-Scarred)
Souvenir Dual Berettas | Drift Wood (Factory New)
Souvenir Dual Berettas | Drift Wood (Minimal Wear)
Souvenir Dual Berettas | Drift Wood (Field-Tested)
Souvenir Dual Berettas | Drift Wood (Well-Worn)
Souvenir Dual Berettas | Drift Wood (Battle-Scarred)
Dual Berettas | Pyre (Factory New)
Dual Berettas | Pyre (Minimal Wear)
Dual Berettas | Pyre (Field-Tested)
Dual Berettas | Pyre (Well-Worn)
Dual Berettas | Pyre (Battle-Scarred)
Dual Berettas | Balance (Factory New)
Dual Berettas | Balance (Minimal Wear)
Dual Berettas | Balance (Field-Tested)
Dual Berettas | Balance (Well-Worn)
Dual Berettas | Balance (Battle-Scarred)
StatTrak™ Dual Berettas | Balance (Factory New)
StatTrak™ Dual Berettas | Balance (Minimal Wear)
StatTrak™ Dual Berettas | Balance (Field-Tested)
StatTrak™ Dual Berettas | Balance (Well-Worn)
StatTrak™ Dual Berettas | Balance (Battle-Scarred)
Dual Berettas | Elite 1.6 (Factory New)
Dual Berettas | Elite 1.6 (Minimal Wear)
Dual Berettas | Elite 1.6 (Field-Tested)
Dual Berettas | Elite 1.6 (Well-Worn)
Dual Berettas | Elite 1.6 (Battle-Scarred)
StatTrak™ Dual Berettas | Elite 1.6 (Factory New)
StatTrak™ Dual Berettas | Elite 1.6 (Minimal Wear)
StatTrak™ Dual Berettas | Elite 1.6 (Field-Tested)
StatTrak™ Dual Berettas | Elite 1.6 (Well-Worn)
StatTrak™ Dual Berettas | Elite 1.6 (Battle-Scarred)
Dual Berettas | Dezastre (Factory New)
Dual Berettas | Dezastre (Minimal Wear)
Dual Berettas | Dezastre (Field-Tested)
Dual Berettas | Dezastre (Well-Worn)
Dual Berettas | Dezastre (Battle-Scarred)
StatTrak™ Dual Berettas | Dezastre (Factory New)
StatTrak™ Dual Berettas | Dezastre (Minimal Wear)
StatTrak™ Dual Berettas | Dezastre (Field-Tested)
StatTrak™ Dual Berettas | Dezastre (Well-Worn)
StatTrak™ Dual Berettas | Dezastre (Battle-Scarred)
Dual Berettas | Switch Board (Factory New)
Dual Berettas | Switch Board (Minimal Wear)
Dual Berettas | Switch Board (Field-Tested)
Dual Berettas | Switch Board (Well-Worn)
Dual Berettas | Switch Board (Battle-Scarred)
Dual Berettas | Heist (Factory New)
Dual Berettas | Heist (Minimal Wear)
Dual Berettas | Heist (Field-Tested)
Dual Berettas | Heist (Well-Worn)
