Item_Name, Price
Desert Eagle | Urban DDPAT (Factory New)
Desert Eagle | Bronze Deco (Minimal Wear)
Desert Eagle | Bronze Deco (Field-Tested)
Desert Eagle | Bronze Deco (Well-Worn)
Desert Eagle | Bronze Deco (Battle-Scarred)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Well-Worn)
StatTrak™ Desert Eagle | Bronze Deco (Battle-Scarred)
Desert Eagle | Midnight Storm (Factory New)
Desert Eagle | Midnight Storm (Minimal Wear)
Desert Eagle | Midnight Storm (Field-Tested)
Desert Eagle | Midnight Storm (Well-Worn)
Desert Eagle | Midnight Storm (Battle-Scarred)
Desert Eagle | Sunset Storm 壱 (Factory New)
Desert Eagle | Sunset Storm 壱 (Minimal Wear)
Desert Eagle | Sunset Storm 壱 (Field-Tested)
Desert Eagle | Sunset Storm 壱 (Well-Worn)
Desert Eagle | Sunset Storm 壱 (Battle-Scarred)
Desert Eagle | Sunset Storm 弐 (Factory New)
Desert Eagle | Sunset Storm 弐 (Minimal Wear)
Desert Eagle | Sunset Storm 弐 (Field-Tested)
Desert Eagle | Sunset Storm 弐 (Well-Worn)
Desert Eagle | Sunset Storm 弐 (Battle-Scarred)
Desert Eagle | Corinthian (Factory New)
Desert Eagle | Corinthian (Minimal Wear)
Desert Eagle | Corinthian (Field-Tested)
Desert Eagle | Corinthian (Well-Worn)
StatTrak™ Desert Eagle | Corinthian (Factory New)
StatTrak™ Desert Eagle | Corinthian (Minimal Wear)
StatTrak™ Desert Eagle | Corinthian (Field-Tested)
StatTrak™ Desert Eagle | Corinthian (Well-Worn)
Desert Eagle | Kumicho Dragon (Factory New)
Desert Eagle | Kumicho Dragon (Minimal Wear)
Desert Eagle | Kumicho Dragon (Field-Tested)
Desert Eagle | Kumicho Dragon (Well-Worn)
Desert Eagle | Kumicho Dragon (Battle-Scarred)
StatTrak™ Desert Eagle | Kumicho Dragon (Factory New)
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear)
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested)
StatTrak™ Desert Eagle | Kumicho Dragon (Well-Worn)
StatTrak™ Desert Eagle | Kumicho Dragon (Battle-Scarred)
Desert Eagle | Directive (Factory New)
Desert Eagle | Directive (Minimal Wear)
Desert Eagle | Directive (Field-Tested)
Desert Eagle | Directive (Well-Worn)
Desert Eagle | Directive (Battle-Scarred)
StatTrak™ Desert Eagle | Directive (Factory New)
StatTrak™ Desert Eagle | Directive (Minimal Wear)
StatTrak™ Desert Eagle | Directive (Field-Tested)
StatTrak™ Desert Eagle | Directive (Well-Worn)
StatTrak™ Desert Eagle | Directive (Battle-Scarred)
Desert Eagle | Oxide Blaze (Factory New)
Desert Eagle | Oxide Blaze (Minimal Wear)
Desert Eagle | Oxide Blaze (Field-Tested)
Desert Eagle | Oxide Blaze (Well-Worn)
Desert Eagle | Oxide Blaze (Battle-Scarred)
StatTrak™ Desert Eagle | Oxide Blaze (Factory New)
StatTrak™ Desert Eagle | Oxide Blaze (Minimal Wear)
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested)
StatTrak™ Desert Eagle | Oxide Blaze (Well-Worn)
StatTrak™ Desert Eagle | Oxide Blaze (Battle-Scarred)
Desert Eagle | Code Red (Factory New)
Desert Eagle | Code Red (Minimal Wear)
Desert Eagle | Code Red (Field-Tested)
Desert Eagle | Code Red (Well-Worn)
Desert Eagle | Code Red (Battle-Scarred)
StatTrak™ Desert Eagle | Code Red (Factory New)
StatTrak™ Desert Eagle | Code Red (Minimal Wear)
StatTrak™ Desert Eagle | Code Red (Field-Tested)
StatTrak™ Desert Eagle | Code Red (Well-Worn)
StatTrak™ Desert Eagle | Code Red (Battle-Scarred)
Desert Eagle | Emerald Jörmungandr (Factory New)
Desert Eagle | Emerald Jörmungandr (Minimal Wear)
Desert Eagle | Emerald Jörmungandr (Field-Tested)
Desert Eagle | Emerald Jörmungandr (Well-Worn)
Desert Eagle | Emerald Jörmungandr (Battle-Scarred)
Desert Eagle | Fennec Fox (Factory New)
Desert Eagle | Fennec Fox (Minimal Wear)
Desert Eagle | Fennec Fox (Field-Tested)
Desert Eagle | Fennec Fox (Well-Worn)
Desert Eagle | Fennec Fox (Battle-Scarred)
Souvenir Desert Eagle | Fennec Fox (Factory New)
Souvenir Desert Eagle | Fennec Fox (Minimal Wear)
Souvenir Desert Eagle | Fennec Fox (Field-Tested)
Souvenir Desert Eagle | Fennec Fox (Well-Worn)
Souvenir Desert Eagle | Fennec Fox (Battle-Scarred)
Desert Eagle | Mecha Industries (Factory New)
Desert Eagle | Mecha Industries (Minimal Wear)
Desert Eagle | Mecha Industries (Field-Tested)
Desert Eagle | Mecha Industries (Well-Worn)
Desert Eagle | Mecha Industries (Battle-Scarred)
StatTrak™ Desert Eagle | Mecha Industries (Factory New)
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)
StatTrak™ Desert Eagle | Mecha Industries (Well-Worn)
StatTrak™ Desert Eagle | Mecha Industries (Battle-Scarred)
Desert Eagle | Light Rail (Factory New)
Desert Eagle | Light Rail (Minimal Wear)
Desert Eagle | Light Rail (Field-Tested)
Desert Eagle | Light Rail (Well-Worn)
Desert Eagle | Light Rail (Battle-Scarred)
StatTrak™ Desert Eagle | Light Rail (Factory New)
StatTrak™ Desert Eagle | Light Rail (Minimal Wear)
StatTrak™ Desert Eagle | Light Rail (Field-Tested)
StatTrak™ Desert Eagle | Light Rail (Well-Worn)
StatTrak™ Desert Eagle | Light Rail (Battle-Scarred)
Desert Eagle | Starcade (Factory New)
Desert Eagle | Starcade (Minimal Wear)
Desert Eagle | Starcade (Field-Tested)
Desert Eagle | Starcade (Well-Worn)
Desert Eagle | Starcade (Battle-Scarred)
Desert Eagle | Blue Ply (Factory New)
Desert Eagle | Blue Ply (Minimal Wear)
Desert Eagle | Blue Ply (Field-Tested)
Desert Eagle | Blue Ply (Well-Worn)
Desert Eagle | Blue Ply (Battle-Scarred)
StatTrak™ Desert Eagle | Blue Ply (Factory New)
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear)
StatTrak™ Desert Eagle | Blue Ply (Field-Tested)
StatTrak™ Desert Eagle | Blue Ply (Well-Worn)
StatTrak™ Desert Eagle | Blue Ply (Battle-Scarred)
Desert Eagle | Printstream (Factory New)
Desert Eagle | Printstream (Minimal Wear)
Desert Eagle | Printstream (Field-Tested)
Desert Eagle | Printstream (Well-Worn)
Desert Eagle | Printstream (Battle-Scarred)
StatTrak™ Desert Eagle | Printstream (Factory New)
StatTrak™ Desert Eagle | Printstream (Minimal Wear)
StatTrak™ Desert Eagle | Printstream (Field-Tested)
StatTrak™ Desert Eagle | Printstream (Well-Worn)
StatTrak™ Desert Eagle | Printstream (Battle-Scarred)
Desert Eagle | The Bronze (Factory New)
Desert Eagle | The Bronze (Minimal Wear)
Desert Eagle | The Bronze (Field-Tested)
Desert Eagle | Night Heist (Factory New)
Desert Eagle | Night Heist (Minimal Wear)
Desert Eagle | Night Heist (Field-Tested)
Desert Eagle | Night Heist (Well-Worn)
Desert Eagle | Night Heist (Battle-Scarred)
Desert Eagle | Trigger Discipline (Factory New)
Desert Eagle | Trigger Discipline (Minimal Wear)
Desert Eagle | Trigger Discipline (Field-Tested)
Desert Eagle | Trigger Discipline (Well-Worn)
Desert Eagle | Trigger Discipline (Battle-Scarred)
StatTrak™ Desert Eagle | Trigger Discipline (Factory New)
StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear)
StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested)
StatTrak™ Desert Eagle | Trigger Discipline (Well-Worn)
StatTrak™ Desert Eagle | Trigger Discipline (Battle-Scarred)
Desert Eagle | Heat Treated (Factory New)
Desert Eagle | Heat Treated (Minimal Wear)
Desert Eagle | Heat Treated (Field-Tested)
Desert Eagle | Heat Treated (Well-Worn)
Desert Eagle | Heat Treated (Battle-Scarred)
Desert Eagle | Sputnik (Factory New)
Desert Eagle | Sputnik (Minimal Wear)
Desert Eagle | Sputnik (Field-Tested)
Desert Eagle | Sputnik (Well-Worn)
Desert Eagle | Sputnik (Battle-Scarred)
Desert Eagle | Ocean Drive (Factory New)
Desert Eagle | Ocean Drive (Minimal Wear)
Desert Eagle | Ocean Drive (Field-Tested)
Desert Eagle | Ocean Drive (Well-Worn)
Desert Eagle | Ocean Drive (Battle-Scarred)
StatTrak™ Desert Eagle | Ocean Drive (Factory New)
StatTrak™ Desert Eagle | Ocean Drive (Minimal Wear)
StatTrak™ Desert Eagle | Ocean Drive (Field-Tested)
StatTrak™ Desert Eagle | Ocean Drive (Well-Worn)
StatTrak™ Desert Eagle | Ocean Drive (Battle-Scarred)
Glock-18 | Groundwater (Factory New)
Glock-18 | Groundwater (Minimal Wear)
Glock-18 | Groundwater (Field-Tested)
Glock-18 | Groundwater (Well-Worn)
Glock-18 | Groundwater (Battle-Scarred)
Souvenir Glock-18 | Groundwater (Factory New)
Souvenir Glock-18 | Groundwater (Minimal Wear)
Souvenir Glock-18 | Groundwater (Field-Tested)
Souvenir Glock-18 | Groundwater (Well-Worn)
Souvenir Glock-18 | Groundwater (Battle-Scarred)
Glock-18 | Candy Apple (Factory New)
Glock-18 | Candy Apple (Minimal Wear)
Glock-18 | Candy Apple (Field-Tested)
Souvenir Glock-18 | Candy Apple (Factory New)
Souvenir Glock-18 | Candy Apple (Minimal Wear)
Souvenir Glock-18 | Candy Apple (Field-Tested)
Glock-18 | Fade (Factory New)
Glock-18 | Fade (Minimal Wear)
Glock-18 | Night (Factory New)
Glock-18 | Night (Minimal Wear)
Glock-18 | Night (Field-Tested)
Glock-18 | Night (Well-Worn)
Glock-18 | Night (Battle-Scarred)
Souvenir Glock-18 | Night (Factory New)
Souvenir Glock-18 | Night (Minimal Wear)
Souvenir Glock-18 | Night (Field-Tested)
Souvenir Glock-18 | Night (Well-Worn)
Souvenir Glock-18 | Night (Battle-Scarred)
Glock-18 | Dragon Tattoo (Factory New)
Glock-18 | Dragon Tattoo (Minimal Wear)
StatTrak™ Glock-18 | Dragon Tattoo (Factory New)
StatTrak™ Glock-18 | Dragon Tattoo (Minimal Wear)
Glock-18 | Pink DDPAT (Factory New)
Glock-18 | Pink DDPAT (Minimal Wear)
Glock-18 | Pink DDPAT (Field-Tested)
Glock-18 | Pink DDPAT (Well-Worn)
Glock-18 | Pink DDPAT (Battle-Scarred)
Souvenir Glock-18 | Pink DDPAT (Factory New)
Souvenir Glock-18 | Pink DDPAT (Minimal Wear)
Souvenir Glock-18 | Pink DDPAT (Field-Tested)
Souvenir Glock-18 | Pink DDPAT (Well-Worn)
Souvenir Glock-18 | Pink DDPAT (Battle-Scarred)
Glock-18 | Gold Toof (Factory New)
Glock-18 | Gold Toof (Minimal Wear)
Glock-18 | Gold Toof (Field-Tested)
Glock-18 | Gold Toof (Well-Worn)
Glock-18 | Gold Toof (Battle-Scarred)
StatTrak™ Glock-18 | Gold Toof (Factory New)
StatTrak™ Glock-18 | Gold Toof (Minimal Wear)
StatTrak™ Glock-18 | Gold Toof (Field-Tested)
StatTrak™ Glock-18 | Gold Toof (Well-Worn)
StatTrak™ Glock-18 | Gold Toof (Battle-Scarred)
Glock-18 | Teal Graf (Factory New)
Glock-18 | Teal Graf (Minimal Wear)
Glock-18 | Teal Graf (Field-Tested)
Glock-18 | Teal Graf (Well-Worn)
Glock-18 | Teal Graf (Battle-Scarred)
Glock-18 | Brass (Factory New)
Glock-18 | Brass (Minimal Wear)
Glock-18 | Brass (Field-Tested)
Glock-18 | Brass (Well-Worn)
Glock-18 | Brass (Battle-Scarred)
Glock-18 | Sand Dune (Factory New)
Glock-18 | Sand Dune (Minimal Wear)
Glock-18 | Sand Dune (Field-Tested)
Glock-18 | Sand Dune (Well-Worn)
Glock-18 | Sand Dune (Battle-Scarred)
Glock-18 | Steel Disruption (Factory New)
Glock-18 | Steel Disruption (Minimal Wear)
Glock-18 | Steel Disruption (Field-Tested)
StatTrak™ Glock-18 | Steel Disruption (Factory New)
StatTrak™ Glock-18 | Steel Disruption (Minimal Wear)
StatTrak™ Glock-18 | Steel Disruption (Field-Tested)
Glock-18 | Blue Fissure (Factory New)
Glock-18 | Blue Fissure (Minimal Wear)
Glock-18 | Blue Fissure (Field-Tested)
Glock-18 | Blue Fissure (Well-Worn)
Glock-18 | Blue Fissure (Battle-Scarred)
StatTrak™ Glock-18 | Blue Fissure (Factory New)
StatTrak™ Glock-18 | Blue Fissure (Minimal Wear)
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)
StatTrak™ Glock-18 | Blue Fissure (Well-Worn)
StatTrak™ Glock-18 | Blue Fissure (Battle-Scarred)
Glock-18 | Death Rattle (Minimal Wear)
Glock-18 | Death Rattle (Field-Tested)
Glock-18 | Death Rattle (Well-Worn)
Glock-18 | Death Rattle (Battle-Scarred)
Glock-18 | Water Elemental (Factory New)
Glock-18 | Water Elemental (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
Glock-18 | Water Elemental (Well-Worn)
Glock-18 | Water Elemental (Battle-Scarred)
StatTrak™ Glock-18 | Water Elemental (Factory New)
StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
StatTrak™ Glock-18 | Water Elemental (Field-Tested)
StatTrak™ Glock-18 | Water Elemental (Well-Worn)
StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)
Glock-18 | Reactor (Factory New)
Glock-18 | Reactor (Minimal Wear)
Glock-18 | Reactor (Field-Tested)
Glock-18 | Reactor (Well-Worn)
Glock-18 | Reactor (Battle-Scarred)
Souvenir Glock-18 | Reactor (Factory New)
Souvenir Glock-18 | Reactor (Minimal Wear)
Souvenir Glock-18 | Reactor (Field-Tested)
Souvenir Glock-18 | Reactor (Well-Worn)
Souvenir Glock-18 | Reactor (Battle-Scarred)
Glock-18 | Grinder (Factory New)
Glock-18 | Grinder (Minimal Wear)
Glock-18 | Grinder (Field-Tested)
StatTrak™ Glock-18 | Grinder (Factory New)
StatTrak™ Glock-18 | Grinder (Minimal Wear)
StatTrak™ Glock-18 | Grinder (Field-Tested)
Glock-18 | Catacombs (Factory New)
Glock-18 | Catacombs (Minimal Wear)
Glock-18 | Catacombs (Field-Tested)
Glock-18 | Catacombs (Well-Worn)
Glock-18 | Catacombs (Battle-Scarred)
StatTrak™ Glock-18 | Catacombs (Factory New)
StatTrak™ Glock-18 | Catacombs (Minimal Wear)
StatTrak™ Glock-18 | Catacombs (Field-Tested)
StatTrak™ Glock-18 | Catacombs (Well-Worn)
StatTrak™ Glock-18 | Catacombs (Battle-Scarred)
Glock-18 | Twilight Galaxy (Factory New)
Glock-18 | Twilight Galaxy (Minimal Wear)
Glock-18 | Twilight Galaxy (Field-Tested)
Glock-18 | Bunsen Burner (Factory New)
Glock-18 | Bunsen Burner (Minimal Wear)
Glock-18 | Bunsen Burner (Field-Tested)
Glock-18 | Bunsen Burner (Well-Worn)
Glock-18 | Bunsen Burner (Battle-Scarred)
StatTrak™ Glock-18 | Bunsen Burner (Factory New)
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn)
StatTrak™ Glock-18 | Bunsen Burner (Battle-Scarred)
Glock-18 | Wraiths (Factory New)
Glock-18 | Wraiths (Minimal Wear)
Glock-18 | Wraiths (Field-Tested)
Glock-18 | Wraiths (Well-Worn)
Glock-18 | Wraiths (Battle-Scarred)
StatTrak™ Glock-18 | Wraiths (Factory New)
StatTrak™ Glock-18 | Wraiths (Minimal Wear)
StatTrak™ Glock-18 | Wraiths (Field-Tested)
StatTrak™ Glock-18 | Wraiths (Well-Worn)
StatTrak™ Glock-18 | Wraiths (Battle-Scarred)
Glock-18 | Royal Legion (Factory New)
Glock-18 | Royal Legion (Minimal Wear)
Glock-18 | Royal Legion (Field-Tested)
Glock-18 | Royal Legion (Well-Worn)
Glock-18 | Royal Legion (Battle-Scarred)
StatTrak™ Glock-18 | Royal Legion (Factory New)
StatTrak™ Glock-18 | Royal Legion (Minimal Wear)
StatTrak™ Glock-18 | Royal Legion (Field-Tested)
StatTrak™ Glock-18 | Royal Legion (Well-Worn)
StatTrak™ Glock-18 | Royal Legion (Battle-Scarred)
Glock-18 | Wasteland Rebel (Factory New)
Glock-18 | Wasteland Rebel (Minimal Wear)
Glock-18 | Wasteland Rebel (Field-Tested)
Glock-18 | Wasteland Rebel (Well-Worn)
Glock-18 | Wasteland Rebel (Battle-Scarred)
StatTrak™ Glock-18 | Wasteland Rebel (Factory New)
StatTrak™ Glock-18 | Wasteland Rebel (Minimal Wear)
StatTrak™ Glock-18 | Wasteland Rebel (Field-Tested)
StatTrak™ Glock-18 | Wasteland Rebel (Well-Worn)
StatTrak™ Glock-18 | Wasteland Rebel (Battle-Scarred)
Glock-18 | Weasel (Factory New)
Glock-18 | Weasel (Minimal Wear)
Glock-18 | Weasel (Field-Tested)
Glock-18 | Weasel (Well-Worn)
Glock-18 | Weasel (Battle-Scarred)
StatTrak™ Glock-18 | Weasel (Factory New)
StatTrak™ Glock-18 | Weasel (Minimal Wear)
StatTrak™ Glock-18 | Weasel (Field-Tested)
StatTrak™ Glock-18 | Weasel (Well-Worn)
StatTrak™ Glock-18 | Weasel (Battle-Scarred)
Glock-18 | Ironwork (Factory New)
Glock-18 | Ironwork (Minimal Wear)
Glock-18 | Ironwork (Field-Tested)
Glock-18 | Ironwork (Well-Worn)
Glock-18 | Ironwork (Battle-Scarred)
StatTrak™ Glock-18 | Ironwork (Factory New)
StatTrak™ Glock-18 | Ironwork (Minimal Wear)
StatTrak™ Glock-18 | Ironwork (Field-Tested)
StatTrak™ Glock-18 | Ironwork (Well-Worn)
StatTrak™ Glock-18 | Ironwork (Battle-Scarred)
Glock-18 | Off World (Factory New)
Glock-18 | Off World (Minimal Wear)
Glock-18 | Off World (Field-Tested)
Glock-18 | Off World (Well-Worn)
Glock-18 | Off World (Battle-Scarred)
StatTrak™ Glock-18 | Off World (Factory New)
StatTrak™ Glock-18 | Off World (Minimal Wear)
StatTrak™ Glock-18 | Off World (Field-Tested)
StatTrak™ Glock-18 | Off World (Well-Worn)
StatTrak™ Glock-18 | Off World (Battle-Scarred)
Glock-18 | Moonrise (Factory New)
Glock-18 | Moonrise (Minimal Wear)
Glock-18 | Moonrise (Field-Tested)
Glock-18 | Moonrise (Well-Worn)
Glock-18 | Moonrise (Battle-Scarred)
StatTrak™ Glock-18 | Moonrise (Factory New)
StatTrak™ Glock-18 | Moonrise (Minimal Wear)
StatTrak™ Glock-18 | Moonrise (Field-Tested)
StatTrak™ Glock-18 | Moonrise (Well-Worn)
StatTrak™ Glock-18 | Moonrise (Battle-Scarred)
Glock-18 | Warhawk (Factory New)
Glock-18 | Warhawk (Minimal Wear)
Glock-18 | Warhawk (Field-Tested)
Glock-18 | Warhawk (Well-Worn)
Glock-18 | Warhawk (Battle-Scarred)
StatTrak™ Glock-18 | Warhawk (Factory New)
StatTrak™ Glock-18 | Warhawk (Minimal Wear)
StatTrak™ Glock-18 | Warhawk (Field-Tested)
StatTrak™ Glock-18 | Warhawk (Well-Worn)
StatTrak™ Glock-18 | Warhawk (Battle-Scarred)
Glock-18 | Synth Leaf (Factory New)
Glock-18 | Synth Leaf (Minimal Wear)
Glock-18 | Synth Leaf (Field-Tested)
Glock-18 | Synth Leaf (Well-Worn)
Glock-18 | Synth Leaf (Battle-Scarred)
Glock-18 | Nuclear Garden (Factory New)
Glock-18 | Nuclear Garden (Minimal Wear)
Glock-18 | Nuclear Garden (Field-Tested)
Glock-18 | Nuclear Garden (Well-Worn)
Glock-18 | Nuclear Garden (Battle-Scarred)
Souvenir Glock-18 | Nuclear Garden (Factory New)
Souvenir Glock-18 | Nuclear Garden (Minimal Wear)
Souvenir Glock-18 | Nuclear Garden (Field-Tested)
Souvenir Glock-18 | Nuclear Garden (Well-Worn)
Souvenir Glock-18 | Nuclear Garden (Battle-Scarred)
Glock-18 | High Beam (Factory New)
Glock-18 | High Beam (Minimal Wear)
Souvenir Glock-18 | High Beam (Factory New)
Souvenir Glock-18 | High Beam (Minimal Wear)
Glock-18 | Oxide Blaze (Factory New)
Glock-18 | Oxide Blaze (Minimal Wear)
Glock-18 | Oxide Blaze (Field-Tested)
Glock-18 | Oxide Blaze (Well-Worn)
Glock-18 | Oxide Blaze (Battle-Scarred)
StatTrak™ Glock-18 | Oxide Blaze (Factory New)
StatTrak™ Glock-18 | Oxide Blaze (Minimal Wear)
StatTrak™ Glock-18 | Oxide Blaze (Field-Tested)
StatTrak™ Glock-18 | Oxide Blaze (Well-Worn)
StatTrak™ Glock-18 | Oxide Blaze (Battle-Scarred)
Glock-18 | AXIA (Factory New)
Glock-18 | AXIA (Minimal Wear)
Glock-18 | AXIA (Field-Tested)
Glock-18 | AXIA (Well-Worn)
Glock-18 | AXIA (Battle-Scarred)
Glock-18 | Sacrifice (Factory New)
Glock-18 | Sacrifice (Minimal Wear)
Glock-18 | Sacrifice (Field-Tested)
Glock-18 | Sacrifice (Well-Worn)
Glock-18 | Sacrifice (Battle-Scarred)
StatTrak™ Glock-18 | Sacrifice (Factory New)
StatTrak™ Glock-18 | Sacrifice (Minimal Wear)
StatTrak™ Glock-18 | Sacrifice (Field-Tested)
StatTrak™ Glock-18 | Sacrifice (Well-Worn)
StatTrak™ Glock-18 | Sacrifice (Battle-Scarred)
Glock-18 | Bullet Queen (Factory New)
